terminal_mac	detect_time	site_id
84-7A-88-7F-26-5B	1489998432	50011235000085
84-7A-88-7F-26-5B	1489998474	50010535000004
84-7A-88-7F-26-5B	1489998681	50011235000073
84-7A-88-7F-26-5B	1489998570	50010535000006
84-7A-88-7F-26-5B	1489998712	50011235000067
84-7A-88-7F-26-5B	1489998792	50011235000063
84-7A-88-7F-26-5B	1489998983	50010535000017
84-7A-88-7F-26-5B	1489999910	50011235000051
84-7A-88-7F-26-5B	1490000464	50011235000052
84-7A-88-7F-26-5B	1490000557	50011235000044
84-7A-88-7F-26-5B	1490000573	50011235000049
84-7A-88-7F-26-5B	1490000541	50011235000051
84-7A-88-7F-26-5B	1490000589	50011235000053
84-7A-88-7F-26-5B	1490001076	50011235000075
84-7A-88-7F-26-5B	1490001184	50011235000031
84-7A-88-7F-26-5B	1490001852	50011235000075
84-7A-88-7F-26-5B	1490007293	50011235000092
84-7A-88-7F-26-5B	1490007424	50011235000085
84-7A-88-7F-26-5B	1490007489	50011235000086
84-7A-88-7F-26-5B	1490007879	50011235000073
84-7A-88-7F-26-5B	1490007515	50010535000004
84-7A-88-7F-26-5B	1490007990	50011235000065
84-7A-88-7F-26-5B	1490007690	50010535000007
84-7A-88-7F-26-5B	1490008117	50011235000061
84-7A-88-7F-26-5B	1490009425	50011235000063
84-7A-88-7F-26-5B	1490009481	50011235000065
84-7A-88-7F-26-5B	1490009833	50011235000067
84-7A-88-7F-26-5B	1490010133	50011235000084
84-7A-88-7F-26-5B	1490010295	50011235000080
84-7A-88-7F-26-5B	1490010341	50011235000083
84-7A-88-7F-26-5B	1490011035	50011235000083
84-7A-88-7F-26-5B	1490011405	50011235000083
84-7A-88-7F-26-5B	1490011528	50011235000084
84-7A-88-7F-26-5B	1490011563	50011235000091
84-7A-88-7F-26-5B	1490011628	50011235000085
84-7A-88-7F-26-5B	1490011639	50011235000089
84-7A-88-7F-26-5B	1490011660	50011235000086
84-7A-88-7F-26-5B	1490011707	50010535000004
84-7A-88-7F-26-5B	1490011934	50011235000073
84-7A-88-7F-26-5B	1490011960	50011235000067
84-7A-88-7F-26-5B	1490012071	50011235000063
84-7A-88-7F-26-5B	1490012465	50011235000083
